case,x2,x3,x5,x7,x11,x13,x17,x19,x23,x29,r1,r2,r3,r4,r5
0,0.240054141,0.409372085,0.983960905,0.063035695,-0.520913497,0.703602062,-0.291324115,-0.998585794,0.908274932,-0.916370901,-2.025935006,-1.261964588,0.032711758,0.381229619,-0.648093763
0,-0.881369568,0.672857253,-0.942524659,0.988567849,0.421733768,0.056655961,0.862794848,-0.999278799,-0.584847265,-0.752228029,0.31422267,-0.580910174,0.737948835,0.96877523,0.756912147
1,0.133724775,0.551539168,0.900411544,-0.310724506,0.047683948,0.996267724,-0.937758479,-0.469570491,0.686785544,0.399855554,0.690816317,-0.79797481,-0.704069698,-1.212821712,-0.515378704
1,-0.999612954,-0.041722994,0.069502436,-0.097228077,-0.152432165,0.179867878,0.234300473,-0.261255218,-0.314537292,0.392583915,-0.297551173,0.571249118,-0.566369833,-0.523176899,-0.388767569
1,-0.302413856,0.947790475,0.017337114,-0.958276442,0.618209017,-0.936164978,0.967610271,-0.533247009,0.923413928,0.503597861,0.232353239,0.62923612,0.875524031,0.870282024,0.548696628
0,0.658891385,0.289417192,-0.529350103,-0.986985637,-0.029397237,0.732543391,0.578295055,-0.232663037,-0.933435553,0.975829174,0.995875678,-0.151727573,-0.618735525,0.119926701,0.927232302
1,0.950684478,-0.890186723,-0.704979232,-0.450238903,0.162959089,0.460936394,0.895597303,0.989409848,0.884647589,0.139201172,0.447926201,0.816138987,-0.123181028,-0.697163535,-0.411609921
1,0.868911937,0.713234143,0.272802693,-0.239151109,-0.957175883,-0.974997901,-0.306123679,0.205209707,0.946519176,0.339073686,0.136806886,0.993055485,-0.287707407,0.027748304,0.240005451
1,0.329382046,0.278204809,0.998557192,0.379608813,-0.872683549,0.173591952,0.476634355,-0.673050095,0.066976861,-0.589852599,0.828244229,0.285634552,0.824796957,0.881860287,0.883583923
1,-0.413398043,0.98934287,-0.276412124,-0.760806408,0.012188948,-0.915521659,0.299756364,-0.992598165,0.561903618,0.776399907,-0.624708355,-0.293898824,0.403264573,1.506204296,0.992217832
1,-0.320363071,-0.956444082,0.029879223,0.937299683,-0.533365656,0.972172951,-0.91480812,0.675672443,-0.98443012,-0.71850038,0.336080416,-0.17443505,0.496702662,-0.232237465,-0.312548588
1,-0.270091028,-0.930446512,-0.10150412,0.985277217,-0.752607327,0.837269925,-0.999502336,0.239584088,-0.709587479,-0.038569401,0.891334197,0.964319829,-0.532017553,-0.583077352,0.128598523
1,-0.999794146,0.030431728,-0.050705626,0.070958648,0.111368722,-0.131509138,-0.171619268,0.19157247,0.231234075,-0.289992307,0.495998997,0.633098996,0.763605586,0.008354251,-0.125449044
1,-0.876289394,0.68458634,-0.951084232,0.982263711,0.367941056,0.12556462,0.904956869,-0.998005267,-0.481392038,-0.844606591,-0.95316308,-0.854462483,0.80113353,0.250034179,-0.627114126
0,-0.974201023,0.334867459,-0.538880528,0.715088465,0.949624879,-0.995851759,-0.934419871,0.829930864,0.500085632,0.158559448,-0.16220422,-0.643809382,0.439874928,1.284014981,0.982975407
0,-0.160293507,-0.855688667,-0.373638162,0.97547221,-0.995000588,0.258069829,-0.550530704,-0.735773757,0.483660854,0.999760893,1.392556837,-0.707129905,0.008211351,0.6379235,1.330096243
1,0.942056623,-0.87121199,-0.656054362,-0.364868724,0.305708259,0.607388613,0.972780751,0.994148426,0.702132798,-0.245342157,0.116616854,-0.237366375,-0.355364397,0.274830974,0.5108216
0,0.91720689,-0.816960314,-0.519560297,-0.136128254,0.631135186,0.88791833,0.942229398,0.730764159,-0.000127342,-0.942314679,1.071406615,0.089297018,-0.162490726,-0.407121193,0.209827477
0,0.793379921,0.555624691,-0.065294199,-0.659230905,-0.896978935,-0.442543227,0.751595036,0.997831707,0.321914926,-0.997900133,0.832090204,0.716622835,0.644296683,1.298012676,1.391909436
0,-0.687571629,0.938750203,-0.895676609,0.292933447,-0.970674389,0.841965187,-0.584609381,0.991070009,0.079140539,0.705299318,-0.613227072,-1.15379028,-0.750976856,-0.588819826,-0.519944933
0,-0.5256346,0.998996953,-0.563200661,-0.406921445,-0.634870186,-0.32356517,-0.701447828,-0.237613787,-0.762399609,-0.817236674,-0.590148514,-0.19492888,1.872454236,1.194548996,-0.036752379
0,0.515858554,0.027612639,-0.842102906,-0.896424612,0.811046202,0.919523944,-0.777515945,-0.939818882,0.741614395,-0.703451046,-0.784073833,-0.989522851,-0.569636126,-0.042081167,-0.149300021
0,-0.703061076,-0.927120617,0.918327485,-0.364160001,0.935430928,-0.90905611,0.42701915,-0.943254091,-0.32128748,-0.889098195,-0.055964034,-0.186560357,0.668041319,0.820449069,0.458446392
1,-0.956169789,0.431135512,-0.676439988,0.862447449,0.997976703,-0.935617945,-0.577506446,0.31314591,-0.272346391,0.919706603,0.041933641,0.00493737,-0.446950737,-0.235403345,0.009038844
1,0.878067407,-0.732723,-0.317722854,0.174758834,0.922163233,0.99482003,0.453771419,-0.027991069,-0.855217439,-0.579943338,-0.109284603,-0.330795165,-1.227349082,-0.265759978,0.293272261
0,-0.206323842,-0.889898615,-0.262736252,0.998316121,-0.936742244,0.5357611,-0.831077229,-0.372719574,-0.033688504,0.791739898,-0.04692781,0.515612676,-0.542861348,0.382706747,0.630673516
1,-0.545515858,-0.996793023,0.610833662,0.330354124,0.729321875,0.175547192,0.829128741,0.016243675,0.907697741,0.963016354,0.819326986,0.485057977,0.200309085,-0.317934306,-0.008425356
0,-0.704578724,0.925914895,-0.920428454,0.371113716,-0.93121265,0.914754445,-0.410529179,0.936320639,0.344454143,0.902848383,-0.205943584,-0.959432945,-1.072329877,-0.525617457,-0.092424311
1,0.384040576,0.192928087,0.980061995,0.559839059,-0.982329905,-0.204448919,0.838343639,-0.181380596,-0.569540591,0.215941499,-0.242315653,-0.282926037,0.59740293,1.082168166,0.662308874
0,0.668183266,0.307198902,-0.502755842,-0.979064982,-0.097557108,0.675261779,0.661043745,-0.116557612,-0.974996509,0.920903046,1.140248861,0.139907265,-0.122193565,-0.428301522,0.202919691
0,-0.348575727,0.968584626,-0.104538225,-0.89570565,0.387495681,-0.999123898,0.783672729,-0.85538358,0.985988507,0.94439509,0.337663359,1.069959504,0.085467886,0.521878555,0.647976292
0,-0.73488547,-0.899204442,0.957540413,-0.508160632,0.817783583,-0.991293862,0.051829021,-0.715368118,-0.753812343,-0.982240384,-0.612528798,-0.434159426,-0.512998975,-0.442473477,-0.492238388
0,0.192482721,0.474909184,0.954990291,-0.107270924,-0.276264714,0.889933521,-0.651694436,-0.869738203,0.991724237,-0.437065127,0.143256089,0.635563977,0.156557243,0.251615097,0.24496452
0,-0.895338181,-0.638393733,0.914397066,-0.998995479,-0.566916126,0.140682782,-0.704743677,0.946969049,0.827540041,0.398707975,-0.275863702,-0.591808811,0.352482135,1.625343671,1.311170752
0,0.416467898,-0.140595615,-0.958673487,-0.657917849,0.999979725,0.422248748,-0.962219059,-0.15319307,0.848377167,-0.667455358,0.455780892,1.519137935,-1.645575166,-1.329667135,-0.278989107
1,0.918755866,0.820324651,0.527877772,0.149656948,-0.614329439,-0.875956178,-0.952827954,-0.755582229,-0.044770365,0.921858944,-0.171060468,0.42244619,1.065739544,0.552888632,-0.065511374
0,0.671663053,0.313881849,-0.49259254,-0.975594268,-0.123177586,0.652481041,0.690404995,-0.072233349,-0.985552591,0.892306467,0.741250097,0.674642863,0.824204282,-0.710214453,-0.751691546
0,-0.246167241,0.916196607,0.162859978,-0.99637819,0.835044434,-0.738812529,0.970850534,-0.006681643,0.483045252,-0.315036954,-0.727705438,0.415315258,-0.69023974,-1.450009611,-1.46874246
0,-0.568258192,0.99266631,-0.663562429,-0.238516738,-0.823717627,0.001527969,-0.935722917,0.24148336,-0.993031097,-0.992292253,-0.016111011,0.894668083,-1.088629642,-0.971606567,-0.435347251
0,0.29662908,-0.327500321,-0.999472056,-0.265444632,0.764964955,-0.388173161,-0.20226812,0.875254637,-0.447206965,0.904818706,0.805928826,1.766641323,0.284191794,1.095164343,1.356032858
1,-0.831307782,0.773287504,-0.995255825,0.881440321,-0.099611027,0.635855416,0.956218836,-0.632252235,0.474347698,-0.770324697,-0.20261623,0.836217905,0.025815135,0.141133512,0.026917829
1,0.957767099,-0.905816206,-0.745736479,-0.522667523,0.033342329,0.319319407,0.788481745,0.932038833,0.977500726,0.46468591,-0.36219372,-0.031521078,-0.484414111,-0.512031177,-0.450920981
1,-0.356110284,-0.971517116,0.124532622,0.882822421,-0.34630887,0.999945207,-0.739363164,0.892462326,-0.966343202,-0.976265185,0.476664585,0.916523874,0.002362064,0.298835575,0.535986836
1,0.484271466,-0.027099415,-0.887719949,-0.832695467,0.911359206,0.801471878,-0.932321334,-0.767893955,0.950544756,-0.96597594,-0.052107138,-0.646446593,0.088474103,0.238105602,0.167814981
1,0.998762201,0.997215671,0.992272136,0.984872134,0.962782045,0.948146645,0.911876198,0.890330942,0.840686923,0.750797728,-0.818787396,-0.099382996,0.167364821,-0.932696644,-1.425772753
1,0.812064064,0.59408082,0.013006222,-0.57295705,-0.959508344,-0.614802607,0.55144559,0.934628158,0.63510839,-0.925062019,0.850995596,0.277467241,-0.172330479,0.229861739,0.741524777
1,-0.825056173,0.783787979,-0.997581712,0.86233392,-0.160432005,0.690096969,0.924217057,-0.546756452,0.583071275,-0.657581837,0.290525977,-0.258681365,0.327445931,0.480034511,0.461574534
0,0.405361729,-0.15866307,-0.966892492,-0.625219355,0.998162275,0.349221078,-0.92892123,-0.038057678,0.766141644,-0.526214752,0.141509925,0.375590928,-0.066089712,-0.797904275,-0.694104456
0,-0.998380137,-0.085285696,0.141835792,-0.197926378,-0.308004227,0.361634867,0.465211402,-0.514821735,-0.608883437,0.734840253,0.839409828,0.81841825,-0.015358759,1.309824281,1.737208574
0,-0.502592621,-0.9999899,0.506473085,0.49089063,0.514203242,0.483039591,0.521891851,0.475149523,0.529538292,0.537141947,0.409810403,0.346856132,0.653419944,0.329392442,0.207587672
1,-0.94006547,0.49858107,-0.76428714,0.93837883,0.94172942,-0.770586689,-0.182779686,-0.163424713,-0.7579138,0.944989088,0.50527061,1.071171448,-0.71587617,0.115324929,0.72589832
1,0.251865276,-0.392628063,-0.988937799,-0.10553012,0.57691062,-0.645171548,0.19085533,0.998042901,-0.840934695,0.972470867,1.026241241,-0.076686363,-0.451052759,0.306019145,1.044666145
0,0.32480677,0.28517312,0.999133997,0.363877852,-0.85937319,0.204493558,0.440062723,-0.706344271,0.122397875,-0.645043076,0.227606053,0.509548126,-0.368212682,0.637377696,0.935287063
1,-0.997879851,-0.097538299,0.162104221,-0.225982773,-0.350598372,0.410807012,0.525750544,-0.57999804,-0.680895342,0.810128751,0.915419155,0.806859122,0.802024568,0.74863947,0.805336764
0,-0.420576523,-0.990998363,0.295332522,0.742578512,0.031244186,0.893673557,-0.235084014,0.980702056,-0.48455928,-0.699296985,-0.253010443,-0.509284899,-1.482452613,-0.538654489,0.076066597
0,0.927456673,0.839265578,0.575068258,0.227436209,-0.51159743,-0.795775103,-0.993282193,-0.877955968,-0.300377824,0.747733282,0.149032864,-1.396011646,0.812920987,0.326894199,-0.005049863
1,-0.704459373,-0.926010153,0.92026402,-0.370567077,0.931549377,-0.914312262,0.411832226,-0.936880454,-0.342637853,-0.901797235,-0.676415964,-0.277031271,-0.845456861,-0.897568174,-0.813047726
0,-0.620842457,0.976044057,-0.776532737,-0.011835072,-0.970621007,0.413977295,-0.980920253,0.761402235,-0.805480291,-0.477521029,0.221639227,0.38002536,0.887167119,-0.562343313,-0.895107259
1,0.316927379,-0.297111396,-0.999783228,-0.336605961,0.835084516,-0.257101644,-0.375516855,0.760026471,-0.216646081,0.732311128,0.301837899,0.255964775,0.453730196,0.696540509,0.62059436
0,0.99841638,0.996438031,0.990116088,0.980658209,0.952464307,0.93381758,0.887719679,0.860414509,0.797723866,0.685036797,-0.689163825,-0.565067489,0.270783653,0.483620722,0.003646983
0,0.971320039,0.935856952,0.825229102,0.667266174,0.247773465,0.010305753,-0.452748046,-0.651773403,-0.92839546,-0.94292086,-0.651740872,-1.427934482,-0.042066548,-0.093941891,-0.398779053
1,-0.482191337,-0.999529815,0.45510281,0.56063655,0.399667735,0.610338346,0.342729671,0.657744905,0.284502738,0.225205905,1.569790389,0.212528988,-0.929275713,-0.285059396,0.964473655
0,0.085221763,0.611068935,0.840774005,-0.467764449,0.310870939,0.973487366,-0.998192528,-0.025189136,0.194592821,0.899654805,0.17537137,-0.703533869,0.525646603,0.056112656,-0.11902496
1,-0.643412294,-0.965608407,0.820320072,-0.089999632,0.996575704,-0.577911786,0.903355654,-0.909555659,0.565866776,0.075366607,0.726060708,0.65101598,0.207332118,-0.29555562,-0.036191325
0,0.559640486,0.105333963,-0.765176013,-0.961780915,0.613318455,0.997802742,-0.434241227,-0.98954111,0.235891949,-0.027073557,-0.396944168,1.074951112,0.234859235,0.259370494,-0.056531208
1,-0.987549871,-0.234732629,0.384721276,-0.525130264,-0.763549974,0.855623984,0.974094068,-0.997540207,-0.969950141,0.752031502,-0.554272564,0.121594703,-0.538157819,0.254402391,0.246345018
0,-0.964123472,-0.392191254,0.622307783,-0.807771826,-0.995670823,0.984623449,0.756441495,-0.555679666,-0.051807058,-0.684701978,-1.012450764,-0.793245139,0.425324745,-0.803187167,-1.522074921
1,0.473466522,-0.045549048,-0.901463572,-0.808076597,0.937114349,0.751115403,-0.964988141,-0.687920806,0.984853629,-0.996545951,0.35958314,0.068565895,0.749893078,0.142940141,-0.052214828
1,0.8632326,-0.701186191,-0.245370832,0.277561988,0.97338626,0.955945559,0.212906741,-0.309444402,-0.980487063,-0.180205826,0.873121972,-0.150128002,0.831857424,0.94841402,0.969046294
0,0.938063453,-0.862454149,-0.633679344,-0.326408717,0.366361153,0.66604485,0.990994541,0.976008012,0.600164383,-0.405649034,0.612068048,-0.574814303,-0.485415632,-0.727575714,-0.178833874
1,0.881735721,0.74055465,0.335963543,-0.148092536,-0.904912416,-0.9986667,-0.511231285,-0.045333982,0.805894708,0.667320807,-0.730107514,-0.011621195,-0.980756611,-0.86239809,-0.737073542
1,-0.936132866,-0.513272899,0.782283604,-0.951369884,-0.918899315,0.721490071,0.08718235,0.268693292,0.836407051,-0.878593816,0.64404224,0.177311995,0.441048757,-0.146712911,-0.045216169
0,-0.014143186,-0.721948142,-0.68166731,0.741230037,-0.759918859,-0.639205256,0.617198469,-0.795457961,0.812279806,-0.548287508,0.282695529,0.130678778,-0.067079045,-0.340644487,-0.1657572
0,-0.392826973,-0.983871851,0.221995949,0.809459857,-0.135407048,0.964334362,-0.47548001,0.995788796,-0.754698793,-0.937327657,-0.950162692,-0.635790286,-1.632635115,-1.526452115,-1.185215904
0,-0.888826835,0.654882042,-0.928385397,0.995465667,0.499910464,-0.047459873,0.786151851,-0.981962477,-0.72358485,-0.580278906,0.228188968,-0.046150853,-0.320325606,0.243290186,0.517547473
1,0.109071655,-0.58222649,-0.871680438,0.392075234,-0.183266487,-0.997187386,0.989713083,0.25016256,-0.454157487,-0.697213292,-0.458704956,-1.484172508,-1.409520873,-0.588772442,-0.113364484
0,0.406285666,-0.157165709,-0.966244474,-0.627976852,0.998483773,0.355370803,-0.932068641,-0.047652612,0.773561176,-0.538622587,-0.373594079,1.317747396,0.74012599,-0.639563136,-1.19642317
1,-0.627631378,0.973125132,-0.790036935,0.018578808,-0.981008407,0.464707667,-0.963898275,0.812267425,-0.742335768,-0.36331649,-0.497326991,0.232626663,-1.013457128,0.331788333,0.589853401
0,-0.794462583,-0.82994621,0.998146832,-0.756034411,0.433267667,-0.891565171,-0.670924525,0.082686192,-0.939978616,-0.038987603,-0.377347124,1.025596456,-1.432845605,-2.001001892,-1.473252652
0,0.318876771,0.294165176,0.999663,0.343373443,-0.841251926,0.244163975,0.391656132,-0.74718828,0.193504619,-0.711687112,-0.393633603,-0.246134432,0.266548572,0.443188943,0.113097855
1,-0.839400249,0.759097929,-0.991001655,0.904596145,-0.018802573,0.559200572,0.9852684,-0.734085454,0.319229295,-0.887929431,-0.491345546,0.004417344,-0.052111697,0.074538732,-0.145078192
0,0.105387478,0.586736533,0.867103116,-0.403972912,0.203262357,0.995093103,-0.993727629,-0.215931246,0.415791164,0.734705965,-1.3560463,-0.764569964,-0.091447442,-0.46725417,-1.099553599
0,0.462194065,-0.064651334,-0.914805049,-0.780983595,0.959273184,0.693867661,-0.987703059,-0.595150828,0.999619348,-0.994822822,0.433137558,0.447833582,0.413089796,0.202573694,0.212597575
0,0.363003523,-0.226189732,-0.989746539,-0.492373229,0.951413041,0.058452467,-0.718375548,0.387430429,0.338324525,0.110963657,0.776529969,0.008273463,-0.551853714,-0.579532292,0.084659549
1,-0.848598439,-0.742100675,0.984353201,-0.928540505,-0.07545811,-0.463495577,-0.999660154,0.834518736,-0.1273266,0.973831489,1.551679827,0.737712088,1.185336519,0.124505463,0.307677116
1,-0.46776966,-0.998474124,0.418248285,0.607186408,0.315531388,0.691103024,0.208965736,0.766589779,0.099851185,-0.01048132,0.590442494,-0.415209372,1.012171931,0.967788985,0.756924266
0,-0.343256989,-0.966435061,0.090434089,0.904350795,-0.416044695,0.996904049,-0.812682232,0.826261581,-0.994761018,-0.914209871,0.05401145,0.281765174,0.470230499,-1.015264414,-1.223373938
1,-0.742085031,0.892081637,-0.964894351,0.539985672,-0.782593725,0.998038394,0.038899255,0.640931872,0.828620824,0.941556882,-0.11149782,0.172792872,0.244535215,0.130044144,-0.047972374
1,0.243811376,0.404065807,0.985641653,0.076555488,-0.538973729,0.685495602,-0.259685382,-0.999865482,0.88875002,-0.937392721,-0.08554493,0.599369591,0.361243867,-0.102639067,-0.326033465
0,-0.271394109,0.931188609,0.09813693,-0.984456179,0.747684204,-0.842048462,0.999799121,-0.252048964,0.720469722,0.058173853,-0.068198218,-0.430197835,-0.857927216,0.63161428,1.026478779
1,0.897704463,0.774800249,0.416992818,-0.026127622,-0.806767216,-0.984574477,-0.740717603,-0.368944408,0.509545611,0.945178742,0.334523782,0.40921713,0.169592176,0.818920668,0.901386472
1,-0.66792556,-0.951804789,0.863992843,-0.202361017,0.995413949,-0.736056188,0.752290075,-0.992795071,0.226101579,-0.385162289,0.607158209,0.61141974,0.091136726,0.590104565,0.848115307
1,-0.94024666,0.497889502,-0.76342919,0.93773399,0.942709144,-0.772784934,-0.187221501,-0.15843898,-0.753910456,0.947483031,0.517377124,0.898714611,0.04312431,-1.112147403,-0.875020996
0,0.253683105,-0.390034555,-0.989623613,-0.112067027,0.585320262,-0.635792867,0.175155044,0.996767831,-0.829047136,0.978457565,-0.571155931,-1.008975964,1.183952523,0.084566268,-0.792987959
0,-0.82758675,-0.779584555,0.996738049,-0.870189849,0.135992741,-0.668668709,-0.938124047,0.581988075,-0.540332006,0.705236459,-2.130599833,-1.472697634,0.781020607,0.514198735,-0.941611485
0,0.754164629,0.476063937,-0.218465564,-0.80558194,-0.697645009,-0.055661134,0.981307252,0.866444746,-0.37536787,-0.570860311,-0.267366011,1.089705366,0.60561142,0.070647129,-0.365841587
1,0.991481114,0.980866559,0.947153332,0.897302723,0.752847207,0.6607035,0.444407057,0.32393953,0.068593386,-0.31761926,-1.754229592,-0.986539139,-0.297021858,-0.128089977,-0.856693844
1,-0.661749803,-0.955535077,0.853402078,-0.173942236,0.998733422,-0.698633693,0.796694432,-0.980332762,0.317556464,-0.272031093,-0.066769005,-0.409730633,0.385529373,-1.200747242,-1.426896431
0,-0.372807098,0.977538418,-0.16886969,-0.85162678,0.2522613,-0.991944313,0.628571873,-0.956018573,0.893201213,0.999131418,-1.720522686,-1.04862504,1.640568045,0.255121227,-1.425424138
1,0.065664032,0.634090062,0.813227255,-0.527290501,0.411396728,0.936503232,-0.97437924,0.160444232,-0.029713701,0.986018666,0.084406045,1.007027542,0.203015177,0.080471847,0.021167281
1,0.723479323,0.414911415,-0.327939679,-0.889426569,-0.498241188,0.23808939,0.981330218,0.577197555,-0.788669441,0.05292621,-0.42786739,0.738211136,-0.109643392,0.450948359,0.29183636
0,-0.796726746,-0.826805936,0.998671808,-0.764531145,0.414651758,-0.880301306,-0.694138196,0.1180095,-0.924449216,0.015192904,1.297569847,0.539391397,0.01663758,-1.288559288,-0.648093154
1,0.455841463,-0.075350601,-0.921878563,-0.765110345,0.969637771,0.659661675,-0.99537568,-0.539231526,0.998507758,-0.978962875,-0.885500589,-0.691463297,0.671372749,1.041661091,0.263224423
1,0.627279456,0.22961718,-0.613951526,-0.999855537,0.196403205,0.88682554,0.262565805,-0.586767409,-0.666160685,0.92926481,0.909135266,0.577385812,0.94170676,0.977251017,0.96096527
0,0.994053529,-0.986637026,-0.963027759,-0.927965257,-0.82527979,-0.758878057,-0.59989576,-0.509205963,-0.310809089,0.011282248,-1.33722404,-0.405625253,-0.049844869,-0.472759507,-1.116449093
0,-0.98102088,-0.28854544,0.46872383,-0.631110289,-0.878761115,0.954625094,0.996141174,-0.960217397,-0.781772469,0.307047042,-0.675243922,-0.844691832,0.551155562,0.611634329,-0.001565413
1,-0.221691068,0.9004142,0.224594893,-0.999995563,0.90299008,-0.619154945,0.897806358,0.230396539,0.212967891,-0.633090905,-0.685837944,-1.668255686,-0.266698045,-0.043472955,-0.253042905
0,-0.426502926,-0.992264368,0.310918249,0.727049282,0.067180663,0.873790043,-0.180698322,0.966665408,-0.417438033,-0.628444486,-0.832089216,0.984647101,-0.272734571,-1.137226523,-1.416903845
1,0.347852901,0.249804307,0.994720541,0.442228546,-0.920219879,0.046857265,0.616024268,-0.524247092,-0.1580636,-0.339351129,-0.959084134,0.594024428,0.726930936,1.37903237,0.536024835
1,-0.001180073,0.70835733,0.705017612,-0.710021274,0.711681264,0.701662187,-0.699978607,0.714989341,-0.71663741,0.694904509,1.330624428,0.709632028,0.447982706,-0.657783219,-0.216462359
0,-0.912895084,0.589720528,-0.868013684,0.995090322,0.737242105,-0.397236944,0.41909311,-0.753205281,-0.992435776,0.185219688,-0.265946626,0.421611571,-0.276766687,-0.393188906,-0.387778875
1,-0.205991519,0.88966612,0.263555375,-0.998246464,0.937394413,-0.533895833,0.829468278,0.375711525,0.029784861,-0.794738438,-0.325098632,-0.686960859,0.552996886,-0.817819498,-1.256867257
1,0.537815531,0.066318901,-0.80553919,-0.932781875,0.720032841,0.972279658,-0.621859108,-0.994672332,0.51274514,-0.394610557,0.176876245,-0.41791263,0.608039493,-0.78521139,-1.000793014
1,0.990016396,-0.977583666,-0.938146738,-0.879977639,-0.71243966,-0.606416046,-0.360402279,-0.225324334,0.055541888,0.461637328,-1.178655367,-0.493350274,-0.390767583,0.01211411,-0.381829782
1,0.997560656,0.994514265,0.984786627,0.970254522,0.927083593,0.898655388,0.828806279,0.787726147,0.694255839,0.529320942,-0.917960192,-0.631397793,-0.078728373,-0.416141346,-0.835757256
0,-0.31431812,0.953609201,-0.013947094,-0.944841552,0.562688091,-0.961634861,0.935338736,-0.629818257,0.968912286,0.651237726,1.474935724,1.543922163,-0.032619227,-0.543515497,0.210261979
1,-0.648551181,0.962933719,-0.829828648,0.113438982,-0.998953484,0.613058247,-0.877348279,0.934256343,-0.500404358,0.022174552,0.730665515,1.133668144,0.61815284,0.183001429,0.239257766
0,-0.382804274,0.980823539,-0.195411033,-0.831215182,0.194384685,-0.980619058,0.55464545,-0.981026946,0.830632972,0.980413503,-0.123195945,-0.222336728,-0.262105683,0.397121197,0.466576066
0,-0.999485311,-0.048109358,0.080127237,-0.112062634,-0.17555461,0.207045831,0.269356691,-0.300112188,-0.360665056,0.44863437,-0.597733982,-1.059241918,-0.059915501,0.811838377,0.542929136
0,-0.021986194,0.730039749,0.667188695,-0.759377628,0.787247197,0.599179909,-0.563404214,0.838368797,-0.861521979,0.44982793,-0.763045561,-0.927672829,-0.891165823,-0.672974136,-0.608914005
0,0.997892807,-0.995260897,-0.986854318,-0.974288753,-0.936909796,-0.912253933,-0.851528548,-0.815714946,-0.733939948,-0.588591548,-0.299564498,-0.293781466,0.696995069,0.733493317,0.235213533
1,0.944961803,0.877593237,0.672439713,0.39326645,-0.259452612,-0.56114945,-0.952824846,-0.999689189,-0.770245722,0.12043604,0.106811776,0.29067505,-0.425582051,-1.222238921,-0.956042008
0,-0.855316907,0.729062476,-0.978195085,0.944271113,0.145585683,0.388063219,0.99655757,-0.89532533,-0.019891496,-0.999066453,1.50235354,2.098437888,-1.150147131,-0.435579085,0.890671251
0,-0.983083537,-0.27279436,0.444390647,-0.600951897,-0.848469482,0.931051572,0.999986908,-0.984007871,-0.85384118,0.453535064,-0.25423009,-0.79042092,0.405866806,-0.198577795,-0.528626243
1,0.949471242,-0.887514229,-0.698051476,-0.438045374,0.184020998,0.483216786,0.909809228,0.994095508,0.862920162,0.083175464,0.333656218,0.48502861,-0.34077885,0.077406735,0.41462427
0,0.634995125,-0.244113229,0.594134297,0.998657994,-0.142492011,-0.855115083,-0.343115395,0.507742602,0.746936074,-0.97271328,0.348739834,-0.41100913,0.291331091,0.531935288,0.560639659
0,-0.291911812,-0.942400469,-0.044820388,0.96856767,-0.664598558,0.908660638,-0.986951976,0.442104869,-0.867619294,-0.360004919,0.394383822,-0.350202837,-0.01642892,-0.753279085,-0.547872714
1,-0.680773868,0.943476199,-0.885071842,0.261591363,-0.981717656,0.807752737,-0.646986281,0.99897896,-0.027962248,0.603348695,0.84686975,0.915224162,0.296387995,0.066087345,0.341328222
1,0.430974096,-0.116773147,-0.946517078,-0.699075538,0.995542775,0.514156115,-0.990267715,-0.301192627,0.930979621,-0.820912293,-0.406699428,-0.873430945,-0.146445667,-0.124902023,-0.255028904
1,0.986237819,0.969124015,0.915019993,0.835730629,0.610958572,0.471662587,0.158315341,-0.007111237,-0.332829323,-0.7430317,0.258004947,-0.495642695,0.174688938,0.595360915,0.637018919
